Category,Message
Consumer Loan,Shopping for a loan or lease
Payday loan,Charged fees or interest I didn't expect
Plumbing Inspection Division,Sewage back-ups occur in these units due to inadequate plumbing particularly in 2773 and 2785 24th street
Department of Bldg Inspection,"They have a sewage pipe in back of the house and water is gushing out of the  drain pipe under her kitchen windows.  furnace was installed, 1996, has not been inspected."
Department of Bldg Inspection,Referral from dph.  paint chipping from walls in kitchen and living room.  plumbing leak under kitchen sink.
Building Inspection Division,Work without permit
Department of Bldg Inspection,Toilet overflowing.  (was reported 2 weeks ago.)
Inspection Services,Caller not sure of address essay to fine the mage construction property at the location it the on to the right of the 3 2 story victorians and the left of the 3 story modern remodel with the wooden skylight at the top. --- caller is reporting there is a lot of construction at the above location and it seems as if the electrical is being tampered with for the adjacent property. caller would like the city to come and make sure this is not the case. (311 sr#12631542)
Disabled Access Division,"Narrow path of travel within store - none to code. some aisles 20"" wide. no accessible sales counter in store."
Prepaid card,"Managing, opening, or closing account"
Housing Inspection Services,Routine
Mortgage,"Loan modification,collection,foreclosure"
Housing Inspection Services,Routine inspection
Payday loan,Charged fees or interest I didn't expect
Money transfers,Wrong amount charged or received
Other financial service,Customer service/Customer relations
Disabled Access Division,No disabled access in the building. (on gate - the elderly people & disabled hard to get out)
Money transfers,Other transaction issues
Credit reporting,Incorrect information on credit report
Consumer Loan,Managing the loan or lease
Prepaid card,Unauthorized transactions/trans. issues
Student loan,Repaying your loan
Money transfers,Incorrect/missing disclosures or info
Disabled Access Division,Wheelchair is not accessible.
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 105523 , serial no a021709182"
Inspection Services,Construction w/out permit.
Prepaid card,"Managing, opening, or closing account"
Payday loan,Applied for loan/did not receive money
Money transfers,Other transaction issues
Debt collection,Disclosure verification of debt
Plumbing Inspection Division,Old septic tank downstairs leaking up thorugh ground and in downstairs bathroom of #188 -- tenant is richard chen #695-0727
Code Enforcement Section,"Vacant storefront 
2020 registration due 02/07/20"
Money transfers,Fraud or scam
Electrical Inspection Division,Hazardous wiring throughout property.  inconsistent power on a in and out basis.  circuit breakers do not carry load and are outdated.  disabled residents who rely on power for medical reasons are exposed to power going on and off on a daily basis.
Money transfers,Fraud or scam
Plumbing Inspection Division,"Work without a permit, furnace."
Mortgage,"Loan modification,collection,foreclosure"
Payday loan,Charged fees or interest I didn't expect
Mortgage,"Loan servicing, payments, escrow account"
Other financial service,Excessive fees
Prepaid card,Unauthorized transactions/trans. issues
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 110522 , serial no 61260"
Disabled Access Division,"4th floor, women's floor bathroom: (1) three toilet stalls lack doors; handicap stall lock does not work remaining tub (2) stall locks do not work. sink fixtures not ada compliant; (3) no ada complaint shower."
Credit card,Balance transfer
Department of Bldg Inspection,"Wooden back stairs are deteriorating; no slats in railing, safety hazard to children."
Housing Inspection Services,Field inspection of building.
Electrical Inspection Division,Illegal unit in the commercial space and the address is listed as 301 detroit.
Inspection Services,"1267 rhode island --- caller reporting that there is major construction project at above stated address. appears major demolition is taking place. caller is reporting that a lot of dust, debris, and particles is blowing all over. it appears as if proper removal is not taking place. please inspect. thank you. (311 sr#12647660)"
Credit reporting,Incorrect information on credit report
Money transfers,Money was not available when promised
Housing Inspection Services,Water leak in the walls radiators in the wall  basebrd is buckling up  front door bell not working etc.
Prepaid card,Fraud or scam
Student loan,Dealing with my lender or servicer
Debt collection,Cont'd attempts collect debt not owed
Debt collection,Disclosure verification of debt
Plumbing Inspection Division,Rainwater backing onto neighbor's property.  (1758 church street) great haircuts will gain entry to roof area.
Housing Inspection Services,His routine inspection
Disabled Access Division,Elevator not working again.
Money transfers,Fraud or scam
Money transfers,Money was not available when promised
Department of Bldg Inspection,Roof leaks.  ceiling is damp.
Other financial service,Fraud or scam
Debt collection,Disclosure verification of debt
Bank account or service,Problems caused by my funds being low
Credit reporting,Incorrect information on credit report
Code Enforcement Section,Vacant storefront
Consumer Loan,Problems when you are unable to pay
Plumbing Inspection Division,Water leaking between water meter and his house.  possible water service leak.
Code Enforcement Section,Vacant buidling
Electrical Inspection Division,"Power shortage and illegal wiring, one of the tenant using power from the apartment to wired downstair basement which use it as a gallery."
Other financial service,Customer service/Customer relations
Bank account or service,"Account opening, closing, or management"
Housing Inspection Services,Complaining of storage in front (belonging to the tenant. i.e.  boxes wood  and there are no sprinklers in the storage area.  owner/manager states that they tried to talk to the tenant but to no avail.  thought housing can do something.  please take note  that the propert mgmet is making this complaint.
Disabled Access Division,Shelter for 100 men only; no women; i doubt that it has the required disabled access permits.
Bank account or service,"Account opening, closing, or management"
Student loan,Repaying your loan
Electrical Inspection Division,The hallway light goes out every other day.  afraid of fire hazard.
Debt collection,Cont'd attempts collect debt not owed
Other financial service,Advertising and marketing
Credit card,Billing disputes
Money transfers,Wrong amount charged or received
Prepaid card,Unauthorized transactions/trans. issues
Prepaid card,Unauthorized transactions/trans. issues
Credit reporting,Credit reporting company's investigation
Credit reporting,Unable to get credit report/credit score
Payday loan,Charged fees or interest I didn't expect
Code Enforcement Section,Vacant storefront
Department of Bldg Inspection,Electricity shorted out and was sparking 7-9-1997 pm.  owners electrician apparently spliced 2 bad circuits to 2 remaining fuses.  tenant feels wiring may be faulty.
Debt collection,Cont'd attempts collect debt not owed
Credit card,Identity theft / Fraud / Embezzlement
Inspection Services,"Reported as 36 otis st - beeping construction trucks, it?s loud and it?s constant can it please stop [submitted via https://seeclickfix.com/issues/8183402] (311 sr#12646466)"
Plumbing Inspection Division,Pipe humm hot water faucet  coming from rm 300.  noise is huge/loud that he could not stand.
Credit card,Billing disputes
Bank account or service,"Account opening, closing, or management"
Electrical Inspection Division,Electrical and plumbing work without permit.
Other financial service,Unexpected/Other fees
Credit card,Other
Disabled Access Division,No accessible toilets in the lady's bathroom.
Credit card,Billing disputes
Consumer Loan,Taking out the loan or lease
Bank account or service,Deposits and withdrawals
Money transfers,Money was not available when promised
Bank account or service,Deposits and withdrawals
Prepaid card,"Managing, opening, or closing account"
Other financial service,Customer service/Customer relations
Electrical Inspection Division,Work without permit.
Plumbing Inspection Division,(Corner of mission & 18th streets) water heater being installed without permit  (water heater @ 2196 mission?)
Bank account or service,"Account opening, closing, or management"
Credit card,APR or interest rate
Disabled Access Division,This shelter is for 25 families - no singles. i doubt that it has the necessary disabled access permits.
Other financial service,Customer service/Customer relations
Code Enforcement Section,Vacant storefront
Student loan,Dealing with my lender or servicer
Money transfers,Fraud or scam
Payday loan,Can't contact lender
Code Enforcement Section,Vacant building
Code Enforcement Section,Vacant building
Disabled Access Division,No handicap accessible.
Bank account or service,"Account opening, closing, or management"
Department of Bldg Inspection,"Telephone number is for a mr. jordan, who knows the situation and can reach mr. cannon.  ceiling leak in bathroom for past two years, twice this week."
Consumer Loan,Problems when you are unable to pay
Bank account or service,Deposits and withdrawals
Debt collection,Cont'd attempts collect debt not owed
Other financial service,Customer service/Customer relations
Payday loan,Received a loan I didn't apply for
Disabled Access Division,She was told that there is a wheelchair lift from kearny street but was not allowed to use it because her disability was not apparent.
Credit card,Late fee
Credit reporting,Incorrect information on credit report
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109422 , serial no c15266108"
Housing Inspection Services,Il-legal unit.
Money transfers,Fraud or scam
Other financial service,Unexpected/Other fees
Other financial service,Fraud or scam
Credit reporting,Incorrect information on credit report
Electrical Inspection Division,A light installed without a permit and it is too bright at night.
Money transfers,Other service issues
Disabled Access Division,No path of travel to medical office
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109475 , serial no 420500-200301"
Payday loan,Charged fees or interest I didn't expect
Inspection Services,"Customer states ""this address is doing construction inside the apartment without a permit."" (311 sr#12626689)"
Inspection Services,Date last observed: 23-jul-20;    identity of person performing the work: piqueo;    floor: main;    unit: 830 cortla;    exact location: main bldg;    building type: both   work w/o permit; electrical work being performed w/o permit; electrical work previously installed w/o permit; disabled acc: path of travel;  ;    additional information: path of travel is blocked due to construction items and electrical work. they¿real doing electrical work that doesn¿t look safe. ;
Department of Bldg Inspection,"#49 is the lower unit (49-51-53 jasper). pieces of sheetrock on ceiling in livingroom fell down in 1993--sheetrock was loosened again after monday's earthquake. rats in back yard-droppings outside and inside-referred to dph.  back stairwell-wooden-is damaged, possibly unsafe.  very low water pressure-takes one hour to fill bathtub, one-half hour to empty (no shower)-possible plumbing problem? has notified landlord of problems, no action."
Consumer Loan,Managing the loan or lease
Code Enforcement Section,Vacant storefront
Credit card,Billing disputes
Bank account or service,"Account opening, closing, or management"
Credit reporting,Incorrect information on credit report
Housing Inspection Services,Routine
Department of Bldg Inspection,Oven and broiler have been broken for nine months.
Other financial service,Unexpected/Other fees
Consumer Loan,Taking out the loan or lease
Money transfers,Other transaction issues
Payday loan,Charged fees or interest I didn't expect
Building Inspection Division,Replacing windows for both units without a building permit.
Inspection Services,Owner/contractor doing working without permit in garage laying copper pipes in ground floor of garage.
Consumer Loan,Managing the loan or lease
Mortgage,"Loan modification,collection,foreclosure"
Housing Inspection Services,Insufficient/defective locking (key) device and untight-fitting of the main entrance door. missing handrail in front stairway. unsafey fixed glazing adjacent to main entrance door. no smoke detector in the  apt. lots of asbestos (deteriorated  pipe insul ation) outside the building. the sink have very poor drainage (flexible hose drain pipe). missing or broken sash cords and nailed windows so they can't stay open.
Consumer Loan,Shopping for a loan or lease
Department of Bldg Inspection,Possible illegal unit.  only one elec/gas meter.  there is only one exit in case of fire for tenants in garage.  there is a shed in the rear.
Code Enforcement Section,Vacant storefront
Credit card,Billing statement
Mortgage,"Loan servicing, payments, escrow account"
Other financial service,Customer service/Customer relations
Debt collection,Improper contact or sharing of info
Money transfers,Fraud or scam
Electrical Inspection Division,Refrigeration compressors installed without permit.
Prepaid card,Unauthorized transactions/trans. issues
Code Enforcement Section,Vacant building
Housing Inspection Services,Improper repair exposure to hazard chemicals
Department of Bldg Inspection,Digging up sewer  on the sidewalk without permit.
Department of Bldg Inspection,Roof has been leaking for about 5 months & nothing has been done to repair it.  unit nos. 28 & 10 had been damaged from  the water leak.
Payday loan,Charged fees or interest I didn't expect
Money transfers,Other transaction issues
Credit card,Other
Money transfers,Other service issues
Other financial service,Lost or stolen check
Disabled Access Division,Restroom was not accessible.
Disabled Access Division,Various access violations noticed in lab & toilet areas.  please survey entire building for compliance.
Payday loan,Charged fees or interest I didn't expect
Inspection Services,Work without permit.
Credit card,Other fee
Consumer Loan,Managing the loan or lease
Housing Inspection Services,Hot water pipe in the basement bathroom is leaking.
Building Inspection Division,Date last observed: 16-jan-20;    time last observed: 1552;    exact location: main bldg;    building type: commercial/business   vacant structure; other building;
Other financial service,Lost or stolen check
Disabled Access Division,Sales counter too  high.
Housing Inspection Services,Apartment in disrepair
Building Inspection Division,Started construction and pumping cement at 4:30am (311 sr 11998708)
Credit reporting,Unable to get credit report/credit score
Payday loan,Can't contact lender
Prepaid card,"Managing, opening, or closing account"
Prepaid card,Unauthorized transactions/trans. issues
Money transfers,Wrong amount charged or received
Debt collection,Cont'd attempts collect debt not owed
Electrical Inspection Division,Tenant built apartment in chiropractic office.
Other financial service,Incorrect exchange rate
Student loan,Repaying your loan
Payday loan,Received a loan I didn't apply for
Other financial service,Customer service/Customer relations
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109402 , serial no 780j j85 57088"
Mortgage,"Loan modification,collection,foreclosure"
Student loan,Repaying your loan
Prepaid card,"Managing, opening, or closing account"
Debt collection,Cont'd attempts collect debt not owed
Disabled Access Division,High counters and no turn around space.
Money transfers,Wrong amount charged or received
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 105905 , serial no 051622876"
Electrical Inspection Division,Windmill generator installed.  noise drives neighbor nuts.
Credit reporting,Incorrect information on credit report
Credit card,Other
Student loan,Dealing with my lender or servicer
Bank account or service,Problems caused by my funds being low
Code Enforcement Section,"Vacant storefront
transfer from bid-201905561"
Bank account or service,Problems caused by my funds being low
Mortgage,"Loan modification,collection,foreclosure"
Debt collection,Cont'd attempts collect debt not owed
Bank account or service,Deposits and withdrawals
Housing Inspection Services,Routine
Bank account or service,Deposits and withdrawals
Credit reporting,Incorrect information on credit report
Housing Inspection Services,Illegal rear unit.  hiv patient on disability.  plumbers have been chasing kitchen leak through bathroom since 6/8/95.  no toilet. no shower. no hot or cold running water or faucets.  bathroom floors removed and open floor space covered with plywood.
Payday loan,Charged fees or interest I didn't expect
Code Enforcement Section,Vacant storefront
Plumbing Inspection Division,New water heater installed without permit or inspection. complaint received 3/12/1997.
Money transfers,Other transaction issues
Prepaid card,"Managing, opening, or closing account"
Prepaid card,"Managing, opening, or closing account"
Disabled Access Division,No access at the restroom.
Inspection Services,555 buena vista ave west --- construction noise has been going on consistently since september from 7 am on. noise exceeds 30 decibels as measured by a decibel meter.  (311 sr#11941792)
Department of Bldg Inspection,Illegal unit.
Credit card,Transaction issue
Other financial service,Unexpected/Other fees
Mortgage,"Application, originator, mortgage broker"
Code Enforcement Section,"Vacant building
2020 registration due 9/26/20"
Inspection Services,31 fairmount --- inspect property for building permit violations. permit # 201911227994. the construction contractors washed out white paint into the street and washed it into the catch basin. they have a habit of blocking neighboring driveways. (311 sr#12028011)
Building Inspection Division,"Date last observed: 16-jan-20;    exact location: main bldg;    building type: residence/dwelling   other building; ;    additional information: someone squatting in house, see lights, no elec, please mow grass;"
Code Enforcement Section,"Vacant building
2020 registraation due 03/04/20"
Plumbing Inspection Division,Sewage leaking onto property of 7 sheldon.  complaint received by rfarrow on 11/13/96.
Student loan,Can't repay my loan
Code Enforcement Section,Vacant storefront
Inspection Services,4005 california street --- caller reporting that the construction noise exceeds the reasonable level for the day and time. added that with the shelter in place she could not stand the loud noise of the construction. (311 sr#12674784)
Inspection Services,1. construction starting at 5:30am.  2.  more than 5 trucks idling for 1 hour. this is a reoccuring issue.  complainant has video.
Debt collection,Communication tactics
Housing Inspection Services,Residential hotel inspection
Department of Bldg Inspection,No hot water for over a week
Credit reporting,Incorrect information on credit report
Credit reporting,Incorrect information on credit report
Code Enforcement Section,Vavant building
Student loan,Dealing with my lender or servicer
Mortgage,Other
Disabled Access Division,Front entrance not wheelchair accessible and elevator not accessible to 2nd floor.
Other financial service,Disclosures
Electrical Inspection Division,Changing neon sign without permit.
Code Enforcement Section,"Vacant storefront
2020 registration due 7/31/20"
Student loan,Repaying your loan
Department of Bldg Inspection,"Other tele#861-5455.  deck has wood rot-particularly bad on the third floor, possibly on other floors also.  railing and deck move.  deck unsafe, slippery as ice."
Department of Bldg Inspection,"Exposed, hazardous wiring attached to awning at entre to cafe."
Money transfers,Other transaction issues
Mortgage,Settlement process and costs
Credit card,Other
Credit reporting,Credit reporting company's investigation
Inspection Services,Location reported as macys union square.. 170 ofarrell --- caller reporting no ventilation at all in building. air not circulating or moving. caller worried about safety of workers and shoppers. thank you. (311 sr#12628526)
Student loan,Can't repay my loan
Electrical Inspection Division,Doing electrical work without a permit that also includes controls and retrofit.
Student loan,Dealing with my lender or servicer
Department of Bldg Inspection,Refrigerator bottom is rotted away; stove does not work properly; bathroom sink cold water handle worn-out; cockroaches infestation.
Housing Inspection Services,Live wire in kitchen;hole in bathroom                       ceiling;hole in mattress;shower/sinks  leak;carpet worn.
Other financial service,Advertising and marketing
Credit card,Billing statement
Credit card,Other
Credit reporting,Credit reporting company's investigation
Mortgage,"Application, originator, mortgage broker"
Money transfers,Other transaction issues
Department of Bldg Inspection,Retaining wall and fence are leaning towards my property.
Department of Bldg Inspection,Kitchen:  ceiling hole requires buckets to hold rains.
Credit reporting,Incorrect information on credit report
Student loan,Dealing with my lender or servicer
Mortgage,"Loan modification,collection,foreclosure"
Payday loan,Charged fees or interest I didn't expect
Department of Bldg Inspection,Lack of heat
Building Inspection Division,Date last observed: 05-dec-19;    time last observed: 3:30 pm;    floor: upper unit;    exact location: rear bldg;    building type: residence/dwelling   fire safety/fire escape; no access to breakers or fuses; structural problems; ;    additional information: balcony has rotted boards and rusted screws and appears to be coming apart.;
Building Inspection Division,"Date last observed: 05-nov-19;    time last observed: 6:30 p.m.;    floor: 1;    exact location: main bldg;    building type: commercial/business   disabled acc: restrooms;  disabled acc: signage; ;    additional information: miss sai gon vietnamese restaurant at 100 6th st/mission. single-use restrooms have ""men"" and ""women"" gender-restrictive signs. ;"
Building Inspection Division,Date last observed: 19-feb-20;    time last observed: 1500;    floor: ground ;    exact location: main bldg;    building type: commercial/business   plumbing leak; water entering building; ;    additional information: observed water damange in the ceiling of the bathroom at 2121 harrison business dba: farmstead. pipping is from 470 albama st. ;
Money transfers,Fraud or scam
Code Enforcement Section,Vacant store front
Consumer Loan,Shopping for a loan or lease
Money transfers,Other service issues
Payday loan,Charged fees or interest I didn't expect
Payday loan,Charged bank acct wrong day or amt
Mortgage,"Application, originator, mortgage broker"
Payday loan,Charged fees or interest I didn't expect
Code Enforcement Section,"Failure to comply with tier iii, mandatory soft-story seismic retrofit per chapter 34b of the sfbc. permit inspections incomplete."
Housing Inspection Services,Mold and mildew.
Other financial service,Excessive fees
Department of Bldg Inspection,Inadequate heating.
Code Enforcement Section,"Vacant storefront
2020 registration due 6/10/20"
Credit reporting,Incorrect information on credit report
Mortgage,"Loan modification,collection,foreclosure"
Plumbing Inspection Division,Garbage disposal creating a plumbing at the above address.  old piping is creating back up problem -- food is backing up into bathtub basement and in the kitchen sink and its clogging the drain of the patio in the lower unit.
Other financial service,Customer service/Customer relations
Electrical Inspection Division,"No fire alarms on property, illegal plugs and faulty wiring."
Credit card,Other
Inspection Services,Private construction area is blaring a truly deafening horn at regular intervals lasting a minute a time. please cut this substantially down!! working and living around here and cannot hold a business call. (311 sr#12020122)
Electrical Inspection Division,Electrical work without permit.
Prepaid card,Fraud or scam
Building Inspection Division,Date last observed: 11-aug-20;    time last observed: 08/11/2020;    identity of person performing the work: year;    floor: elevators ;    exact location: main bldg;    building type: residence/dwelling   other disabled access; ;    additional information: i work in the in the medical part of the 1700 california building. the other part is condominiums. the parking structure where our patients park is useless. the elevators don't work and it is dark below the building. about 3 times a day our senior citizen patients complain about the elevator not working. i actually went to the parking area and these patients were correct. the parking attendant should inform all patients that the elevator is broken. but they do not inform anybody that goes down to park.;
Payday loan,Charged fees or interest I didn't expect
Plumbing Inspection Division,Install water heater without a permit.  abb plumbing & heating did the work.
Inspection Services,"Unit# 503, construction in this unit is disposing old insulation without proper containment and using a fan to blow the dust into the open air.  also they are dumping construction garbage at the side of the building spilling into public's right of way."
Consumer Loan,Managing the loan or lease
Credit reporting,Incorrect information on credit report
Bank account or service,Problems caused by my funds being low
Housing Inspection Services,Routine inspection
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109723 , serial no 0890115357"
Inspection Services,Loud drilling started very late (10pm) - above legal allowance  [submitted via https://seeclickfix.com/issues/7100832] (311 sr#11821004) again loud drilling and construction starting after hours - again! [submitted via https://seeclickfix.com/issues/7114454] (311 sr#11835472)
Inspection Services,"The trinity building --- construction is taking place in the area, the night noise permits expired yesterday 12/22/19 and the construction site is still going after 8pm today 8/23/19- no active night permits (311 sr#11855500)"
Electrical Inspection Division,Unit #203 moving the location and changing from fuse box to breaker box without permit.
Department of Bldg Inspection,Major work without permit.
Payday loan,Charged bank acct wrong day or amt
Other financial service,Fraud or scam
Department of Bldg Inspection,For last few months toilet has run over and leaked.  landlord has not responded.  toilet can't be used.
Student loan,Can't repay my loan
Housing Inspection Services,Electrical shut down for microwave oven.
Credit reporting,Incorrect information on credit report
Prepaid card,"Managing, opening, or closing account"
Bank account or service,Deposits and withdrawals
Credit card,Customer service / Customer relations
Debt collection,False statements or representation
Payday loan,Charged fees or interest I didn't expect
Student loan,Can't repay my loan
Payday loan,Charged fees or interest I didn't expect
Student loan,Can't repay my loan
Consumer Loan,Taking out the loan or lease
Bank account or service,"Account opening, closing, or management"
Consumer Loan,Problems when you are unable to pay
Bank account or service,Deposits and withdrawals
Other financial service,Disclosures
Disabled Access Division,No handicap access in store and in parking lot.
Mortgage,"Loan modification,collection,foreclosure"
Consumer Loan,Taking out the loan or lease
Credit reporting,Credit reporting company's investigation
Student loan,Repaying your loan
Student loan,Repaying your loan
Building Inspection Division,Date last observed: 04-dec-19;    time last observed: 12/04/19;    identity of person performing the work: white pickup truck.;    floor: ground;    exact location: main bldg;    building type: residence/dwelling   work w/o permit; ;    additional information: work and demolition being done. no current permits.;
Code Enforcement Section,Vacant storefront
Credit reporting,Improper use of my credit report
Mortgage,"Loan modification,collection,foreclosure"
Payday loan,Charged fees or interest I didn't expect
Credit reporting,Incorrect information on credit report
Prepaid card,Adding money
Inspection Services,Loud fan in garage area running 24 hours a day. (311 sr#12606597)
Building Inspection Division,Re-roofing w/out a permit.
Student loan,Dealing with my lender or servicer
Prepaid card,Unauthorized transactions/trans. issues
Electrical Inspection Division,Doing electrical work inside all the units without permit.
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 106165 , serial no w812139168"
Consumer Loan,Managing the loan or lease
Bank account or service,Problems caused by my funds being low
Bank account or service,Deposits and withdrawals
Housing Inspection Services,1001-1005 irving street:  bldg needs repairs/cleaning;two units  with pets and there is no back yard;  plumbing problems  can't use showers  in some units;
Housing Inspection Services,Possible illegal unit in the rear of the premises.
Bank account or service,Deposits and withdrawals
Prepaid card,Fraud or scam
Consumer Loan,Managing the loan or lease
Prepaid card,Unauthorized transactions/trans. issues
Department of Bldg Inspection,"A complaint was received by their department  on january 8, 1998 regarding sewage flowing down the backyard of 982 green street into the rear side concrete stairs (steps) of 1920 jones.  according to the complainant there was work done at the backyard of 982 green street someting ago.  complainant's name -- amary donohue 415-567-9097"
Housing Inspection Services,"Routines
refer to # 200842310"
Building Inspection Division,Date last observed: 08-jan-20;    time last observed: 1:55 pm;    floor: ground;    unit: in law;    exact location: in-law unit;    building type: residence/dwelling   fire safety/fire escape; illegal unit; work w/o permit; structural problems;
Debt collection,Cont'd attempts collect debt not owed
Department of Bldg Inspection,No smoke detectors; no fire exit no heat; blocked front door exit; filtlhy rugs not cleaned/changed as promised; cockroaches; ants spiders and other insects.  possible illegal unit behind garage.
Payday loan,Applied for loan/did not receive money
Building Inspection Division,Gutted the building inside and out.  interior demolition and exterior demolition of building at the corner of 4th and geary street - formerly 4th ave farmers market. next to the salvation army.
Electrical Inspection Division,Exposed wires hanging over the wall and extension cords all over the floor.
Other financial service,Customer service/Customer relations
Building Inspection Division,Date last observed: 09-jan-20;    time last observed: 10:50 am;    exact location: main bldg;    building type: residence/dwelling   work w/o permit; ;    additional information: a kitchen was built next to our bedroom about 1 foot away to be exact without dbi permits or final inspections.  this is under the jurisdiction of the building dept.  do not dump it off to another city dept.  do you job!!;
Mortgage,Settlement process and costs
Code Enforcement Section,"Vacant storefront
2020 registration due 8/9/20"
Code Enforcement Section,Vacant storefront
Mortgage,"Loan servicing, payments, escrow account"
Disabled Access Division,Curb ramp on private sidewalk is blocked by tables and chairs in front of world wraps.
Payday loan,Applied for loan/did not receive money
Payday loan,Charged fees or interest I didn't expect
Credit card,Billing disputes
Electrical Inspection Division,Electrical work without permit in kitchen and bathrooms.
Electrical Inspection Division,Hazardous wiring.
Inspection Services,"3633 and 3639 market street, san francisco --- there has been ongoing construction (noisy at times) at 3633 and 3639 market street, san francisco. however, i could neither on site nor online find a construction permit detailing the scope or approval of the construction. (311 sr#12658362)"
Credit card,Other
Code Enforcement Section,Firefighters responded to a 2 alarm fire at 3740 sacramento
Building Inspection Division,"Date last observed: 20-feb-20;    time last observed: 10:42pm;    exact location: main bldg;    building type: residence/dwelling   work w/o permit; work beyond scope of permit; ;    additional information: construction with excessive noice all throughout the night way past 10pm every night for the last 2 weeks. sometimes they go well into 3am;noise complaint - resident is stating that for the last 2 weeks between 8 p-10 p they have been out there with generators, backhoes, and jack hammers. resident lives a 1/2 block away at 950 franklin st and the noise is loud at that distance. would like to be contacted.(311 sr 12113712)"
Code Enforcement Section,Vacant building trash and graffitti violation
Payday loan,Charged fees or interest I didn't expect
Electrical Inspection Division,Electrical wires not in conduit feeding rear building.  exposed splices and loose receptacles.
Building Inspection Division,"585 page st at fillmore, abe's market --- customer is reporting illegal construction at this location. they are ripping out sheet rock and sawing at night. please inspect. (311 sr#12712680)"
Inspection Services,Incorrect furnace placement
Student loan,Repaying your loan
Credit reporting,Unable to get credit report/credit score
Building Inspection Division,Date last observed: 09-dec-19;    identity of person performing the work: mr. and mrs. chin are the owne;    floor: basement;    unit: in law uni;    exact location: in-law unit;    building type: residence/dwelling   illegal unit; plumbing installation without permit; work w/o permit; electrical work previously installed w/o permit; ;    additional information: there is an illegal in law unit that is located at this address.  the owners know if this and have collected rent from this unit.;
Student loan,Repaying your loan
Debt collection,False statements or representation
Student loan,Can't repay my loan
Code Enforcement Section,Vacant storefront
Other financial service,Unexpected/Other fees
Disabled Access Division,Broken elevator. pls. see attachement.
Consumer Loan,Shopping for a loan or lease
Prepaid card,Unauthorized transactions/trans. issues
Money transfers,Other transaction issues
Code Enforcement Section,Vacant storefront
Consumer Loan,Problems when you are unable to pay
Housing Inspection Services,Caller has been having electrical issues in her home and notified the landlord approximately one month ago.
Bank account or service,Deposits and withdrawals
Money transfers,Other transaction issues
Other financial service,Lost or stolen money order
Electrical Inspection Division,"Electrical work was done without permit from 6/20/00 - 6/30/00 in apartment #103, and other work continues to be done in building."
Disabled Access Division,Elevator to dining areas is out of order.
Payday loan,Received a loan I didn't apply for
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 105295 , serial no 0507238595"
Inspection Services,"At address --- construction trucks in front of the property. a lot of hammering noise, moving equipment and a pumping truck noise (311 sr#11737619)"
Disabled Access Division,No automatic door for disabled.
Bank account or service,"Making/receiving payments, sending money"
Student loan,Can't repay my loan
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109640 , serial no 091262816"
Student loan,Repaying your loan
Payday loan,Applied for loan/did not receive money
Credit reporting,Incorrect information on credit report
Building Inspection Division,"Date last observed: 01-jul-20;    time last observed: 11am;    identity of person performing the work: elias pamfilias (owner);    unit: upstairs u;    exact location: main bldg;    building type: residence/dwelling   electrical work being performed w/o permit; kitchen/bathroom remodel w/o permit; ;    additional information: unit is being extensively remodeled,  ripped out bathroom/kitchen and doing plumbing/electrical;"
Other financial service,Fraud or scam
Mortgage,"Loan servicing, payments, escrow account"
Student loan,Repaying your loan
Code Enforcement Section,"Vacant storefront 
2020 registration due 6/18/20"
Mortgage,"Application, originator, mortgage broker"
Consumer Loan,Managing the loan or lease
Inspection Services,Built fence that blocks off small street. no permit for fence -
Code Enforcement Section,Vacant storefront
Disabled Access Division,"Main entrance has 3 steps.  there is no lowered bar area, no access toilets or tables."
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 108405 , serial no 720jb c7865877"
Credit card,Other
Housing Inspection Services,No heater  roach and mouse infested;  landlord tells tenant to move.
Consumer Loan,Managing the loan or lease
Consumer Loan,Managing the loan or lease
Inspection Services,"This construction has been consistently exceeding the allowed 5db noise level, very often starting as early as 7:30-8am in the morning on saturdays and on other days (311 sr#11960680, #11960678, #11960674, #11960670)"
Electrical Inspection Division,An electrical system has been installed on the premises without permit.
Disabled Access Division,Disabled entry is not accessible. located on leavenworth st. side.
Code Enforcement Section,Blight/squaters/vacant building
Department of Bldg Inspection,Roof has no drainage and during rains causes damage to property at 323 lisbon.
Department of Bldg Inspection,No smoke detectors throughout the hallways/apartments; front door to building is unsecure ; in apt.#1 leakage from above in living room; exposed wiring; and window frames are rotted.
Credit card,Sale of account
Debt collection,False statements or representation
Bank account or service,Deposits and withdrawals
Student loan,Can't repay my loan
Prepaid card,"Managing, opening, or closing account"
Credit card,Billing disputes
Housing Inspection Services,No fire escape;lights in hallway are out.  please contact mario padill  of the mayor's office at 554-7118/  john fenton at 673-3674.
Department of Bldg Inspection,Task force inspection  -  see paul lansdorf
